Fecha,Estacion,Caudal
2016-02-23,PasodeIndios,55.26
2016-02-24,Andacollo,20.31
2016-02-24,BajadaDelAgrio,10.16
2016-02-24,PasodeIndios,55.26
2016-02-25,Andacollo,19.32
2016-02-25,BajadaDelAgrio,9.98
2016-02-25,PasodeIndios,54.88
2016-02-26,Andacollo,18.28
2016-02-26,BajadaDelAgrio,9.98
2016-02-26,PasodeIndios,53.46
2016-02-27,Andacollo,17.65
2016-02-27,BajadaDelAgrio,9.98
2016-02-27,PasodeIndios,53.32
2016-02-28,Andacollo,16.96
2016-02-28,BajadaDelAgrio,9.98
2016-02-28,PasodeIndios,53.32
2016-02-29,Andacollo,16.47
2016-02-29,BajadaDelAgrio,10.13
2016-02-29,PasodeIndios,53.32
2016-03-01,Andacollo,16.5
2016-03-01,BajadaDelAgrio,10.03
2016-03-01,PasodeIndios,53.32
2016-03-02,Andacollo,16.5
2016-03-02,BajadaDelAgrio,10.32
2016-03-02,PasodeIndios,53.32
2016-03-03,Andacollo,16.71
2016-03-03,BajadaDelAgrio,10.71
2016-03-03,PasodeIndios,53.32
2016-03-04,Andacollo,17.09
2016-03-04,BajadaDelAgrio,10.75
2016-03-04,PasodeIndios,53.32
2016-03-05,Andacollo,16.76
2016-03-05,BajadaDelAgrio,10.75
2016-03-05,PasodeIndios,53.32
2016-03-06,Andacollo,16.8
2016-03-06,BajadaDelAgrio,10.75
2016-03-06,PasodeIndios,53.32
2016-03-07,Andacollo,17.34
2016-03-07,BajadaDelAgrio,10.59
2016-03-07,PasodeIndios,53.32
2016-03-08,Andacollo,16.75
2016-03-08,BajadaDelAgrio,10.35
2016-03-08,PasodeIndios,53.32
2016-03-09,Andacollo,16.28
2016-03-09,BajadaDelAgrio,10.35
2016-03-09,PasodeIndios,53.32
2016-03-10,Andacollo,16.38
2016-03-10,BajadaDelAgrio,10.47
2016-03-10,PasodeIndios,53.32
2016-03-11,Andacollo,16.41
2016-03-11,BajadaDelAgrio,10.71
2016-03-11,PasodeIndios,53.32
2016-03-12,Andacollo,16.39
2016-03-12,BajadaDelAgrio,10.77
2016-03-12,PasodeIndios,53.32
2016-03-13,Andacollo,16.4
2016-03-13,BajadaDelAgrio,11.32
2016-03-13,PasodeIndios,53.32
2016-03-14,Andacollo,16.28
2016-03-14,BajadaDelAgrio,11.62
2016-03-14,PasodeIndios,53.32
2016-03-15,Andacollo,16.26
2016-03-15,BajadaDelAgrio,11.62
2016-03-15,PasodeIndios,53.32
2016-03-16,Andacollo,16.12
2016-03-16,BajadaDelAgrio,11.65
2016-03-16,PasodeIndios,52.95
2016-03-17,Andacollo,15.77
2016-03-17,BajadaDelAgrio,12.48
2016-03-17,PasodeIndios,51.57
2016-03-18,Andacollo,14.03
2016-03-18,BajadaDelAgrio,12.58
2016-03-18,PasodeIndios,52.57
2016-03-19,Andacollo,13.89
2016-03-19,BajadaDelAgrio,12.18
2016-03-19,PasodeIndios,56.84
2016-03-20,Andacollo,13.9
2016-03-20,BajadaDelAgrio,11.62
2016-03-20,PasodeIndios,57.65
2016-03-21,Andacollo,14.16
2016-03-21,BajadaDelAgrio,11.62
2016-03-21,PasodeIndios,59.15
2016-03-22,Andacollo,13.97
2016-03-22,BajadaDelAgrio,11.62
2016-03-22,PasodeIndios,59.29
2016-03-23,Andacollo,13.92
2016-03-23,BajadaDelAgrio,11.62
2016-03-23,PasodeIndios,59.29
2016-03-24,Andacollo,13.81
2016-03-24,BajadaDelAgrio,11.61
2016-03-24,PasodeIndios,59.29
2016-03-25,Andacollo,13.91
2016-03-25,BajadaDelAgrio,11.23
2016-03-25,PasodeIndios,59.29
2016-03-26,Andacollo,13.74
2016-03-26,BajadaDelAgrio,11.18
2016-03-26,PasodeIndios,59.29
2016-03-27,Andacollo,14.31
2016-03-27,BajadaDelAgrio,11.18
2016-03-27,PasodeIndios,59.7
2016-03-28,Andacollo,13.44
2016-03-28,BajadaDelAgrio,11.18
2016-03-28,PasodeIndios,61.25
2016-03-29,Andacollo,13.35
2016-03-29,BajadaDelAgrio,11.19
2016-03-29,PasodeIndios,61.39
2016-03-30,Andacollo,13.12
2016-03-30,BajadaDelAgrio,11.57
2016-03-30,PasodeIndios,60.98
2016-03-31,Andacollo,12.79
2016-03-31,BajadaDelAgrio,11.62
2016-03-31,PasodeIndios,57.91
2016-04-01,Andacollo,13.28
2016-04-01,BajadaDelAgrio,11.62
2016-04-01,PasodeIndios,51.99
2016-04-02,Andacollo,13.67
2016-04-02,BajadaDelAgrio,11.62
2016-04-02,PasodeIndios,51.44
2016-04-03,Andacollo,13.14
2016-04-03,BajadaDelAgrio,11.62
2016-04-03,PasodeIndios,52.18
2016-04-04,Andacollo,13.56
2016-04-04,BajadaDelAgrio,11.62
2016-04-04,PasodeIndios,54.61
2016-04-05,Andacollo,12.92
2016-04-05,BajadaDelAgrio,11.62
2016-04-05,PasodeIndios,53.46
2016-04-06,Andacollo,12.77
2016-04-06,BajadaDelAgrio,11.62
2016-04-06,PasodeIndios,54.49
2016-04-07,Andacollo,12.75
2016-04-07,BajadaDelAgrio,11.68
2016-04-07,PasodeIndios,59.51
2016-04-08,Andacollo,14.62
2016-04-08,BajadaDelAgrio,12.91
2016-04-08,PasodeIndios,62.38
2016-04-09,Andacollo,13.87
2016-04-09,BajadaDelAgrio,13.74
2016-04-09,PasodeIndios,59.59
2016-04-10,Andacollo,13.24
2016-04-10,BajadaDelAgrio,14.72
2016-04-10,PasodeIndios,59.29
2016-04-11,Andacollo,13.12
2016-04-11,BajadaDelAgrio,16.23
2016-04-11,PasodeIndios,59.29
2016-04-12,Andacollo,13.37
2016-04-12,BajadaDelAgrio,16.42
2016-04-12,PasodeIndios,58.89
2016-04-13,Andacollo,13.2
2016-04-13,BajadaDelAgrio,16.42
2016-04-13,PasodeIndios,57
2016-04-14,Andacollo,13.08
