Estacion,Anio,Fase,Acumulado
BajadaDelAgrio,2002,Fase_max,16774.36
BajadaDelAgrio,2002,Fase_min,4537.18
BajadaDelAgrio,2003,Fase_int,12118.35
BajadaDelAgrio,2003,Fase_max,9039.27
BajadaDelAgrio,2003,Fase_min,2552.75
BajadaDelAgrio,2004,Fase_int,11890.65
BajadaDelAgrio,2004,Fase_max,9499.62
BajadaDelAgrio,2004,Fase_min,3588.84
BajadaDelAgrio,2005,Fase_int,13745.68
BajadaDelAgrio,2005,Fase_max,14842.73
BajadaDelAgrio,2005,Fase_min,2523.64
BajadaDelAgrio,2006,Fase_int,17091.85
BajadaDelAgrio,2006,Fase_max,10048.48
BajadaDelAgrio,2006,Fase_min,3439.4843065654964
BajadaDelAgrio,2007,Fase_int,4640.36
BajadaDelAgrio,2007,Fase_max,8857.96
BajadaDelAgrio,2007,Fase_min,2842.68
BajadaDelAgrio,2008,Fase_int,9207.95
BajadaDelAgrio,2008,Fase_max,7494.84
BajadaDelAgrio,2008,Fase_min,1517.04
BajadaDelAgrio,2009,Fase_int,10329.48
BajadaDelAgrio,2009,Fase_max,10789.14
BajadaDelAgrio,2009,Fase_min,1539.99
BajadaDelAgrio,2010,Fase_int,5571.29
BajadaDelAgrio,2010,Fase_max,8418.87
BajadaDelAgrio,2010,Fase_min,1707.28
BajadaDelAgrio,2011,Fase_int,6195.1
BajadaDelAgrio,2011,Fase_max,8430.12
BajadaDelAgrio,2011,Fase_min,2009.28
BajadaDelAgrio,2012,Fase_int,6790.84
BajadaDelAgrio,2012,Fase_max,3043.46
BajadaDelAgrio,2012,Fase_min,2507.06
BajadaDelAgrio,2013,Fase_int,5675.59
BajadaDelAgrio,2013,Fase_max,5226.91
BajadaDelAgrio,2013,Fase_min,1233.25
BajadaDelAgrio,2014,Fase_int,10303.13
BajadaDelAgrio,2014,Fase_max,6141.25
BajadaDelAgrio,2014,Fase_min,2569.8
BajadaDelAgrio,2015,Fase_int,8452.13
BajadaDelAgrio,2015,Fase_max,8512.33
BajadaDelAgrio,2015,Fase_min,1225.84
BajadaDelAgrio,2016,Fase_int,4049.52
BajadaDelAgrio,2016,Fase_max,4144.02
BajadaDelAgrio,2016,Fase_min,1191.38
BajadaDelAgrio,2017,Fase_int,4415.18
BajadaDelAgrio,2017,Fase_max,7783.49
BajadaDelAgrio,2017,Fase_min,1612.22
BajadaDelAgrio,2018,Fase_int,6112.77
BajadaDelAgrio,2018,Fase_max,5611.468214926798
BajadaDelAgrio,2018,Fase_min,1965.46
BajadaDelAgrio,2019,Fase_int,7405.96
BajadaDelAgrio,2019,Fase_max,8016.51
BajadaDelAgrio,2019,Fase_min,946.4399999999999
PasodeIndios,1980,Fase_int,55292
PasodeIndios,1980,Fase_max,36383
PasodeIndios,1980,Fase_min,21976
PasodeIndios,1981,Fase_int,36067
PasodeIndios,1981,Fase_max,27421
PasodeIndios,1981,Fase_min,8930
PasodeIndios,1982,Fase_int,46794
PasodeIndios,1982,Fase_max,74764
PasodeIndios,1982,Fase_min,6566
PasodeIndios,1983,Fase_int,33016
PasodeIndios,1983,Fase_max,43432
PasodeIndios,1983,Fase_min,12528
PasodeIndios,1984,Fase_int,26890
PasodeIndios,1984,Fase_max,72208
PasodeIndios,1984,Fase_min,7438
PasodeIndios,1985,Fase_int,32186
PasodeIndios,1985,Fase_max,28543
PasodeIndios,1985,Fase_min,10338
PasodeIndios,1986,Fase_int,54580
PasodeIndios,1986,Fase_max,47650
PasodeIndios,1986,Fase_min,6621
PasodeIndios,1987,Fase_int,34006
PasodeIndios,1987,Fase_max,55818
PasodeIndios,1987,Fase_min,9850
PasodeIndios,1988,Fase_int,22483
PasodeIndios,1988,Fase_max,41812
PasodeIndios,1988,Fase_min,7344
PasodeIndios,1989,Fase_int,14795
PasodeIndios,1989,Fase_max,32170
PasodeIndios,1989,Fase_min,5315
PasodeIndios,1990,Fase_int,18500.55
PasodeIndios,1990,Fase_max,19761.73
PasodeIndios,1990,Fase_min,7660.92
PasodeIndios,1991,Fase_int,38010.31
PasodeIndios,1991,Fase_max,36299.07
PasodeIndios,1991,Fase_min,4785.02
PasodeIndios,1992,Fase_int,32351.16
PasodeIndios,1992,Fase_max,52176.61
PasodeIndios,1992,Fase_min,7762.83
PasodeIndios,1993,Fase_int,58800.41
PasodeIndios,1993,Fase_max,50364.21
PasodeIndios,1993,Fase_min,7988.76
PasodeIndios,1994,Fase_int,36028.05
PasodeIndios,1994,Fase_max,48466.78
PasodeIndios,1994,Fase_min,9313.02
PasodeIndios,1995,Fase_int,37218.43
PasodeIndios,1995,Fase_max,47239.37
PasodeIndios,1995,Fase_min,7129.59
PasodeIndios,1996,Fase_int,16840.91
PasodeIndios,1996,Fase_max,12778.98
PasodeIndios,1996,Fase_min,8283.8
PasodeIndios,1997,Fase_int,46484.99
PasodeIndios,1997,Fase_max,33372.98
PasodeIndios,1997,Fase_min,6236.19
PasodeIndios,1998,Fase_int,8813.27
PasodeIndios,1998,Fase_max,7759.19
PasodeIndios,1998,Fase_min,8386.13
PasodeIndios,1999,Fase_int,18541.15
PasodeIndios,1999,Fase_max,42205.2
PasodeIndios,1999,Fase_min,3917.86
PasodeIndios,2000,Fase_int,49596.28
PasodeIndios,2000,Fase_max,57464.02
PasodeIndios,2000,Fase_min,6733.84
PasodeIndios,2001,Fase_int,67497.92
PasodeIndios,2001,Fase_max,48980.52
PasodeIndios,2001,Fase_min,7460.33
PasodeIndios,2002,Fase_int,44353.32
PasodeIndios,2002,Fase_max,69869.67
PasodeIndios,2002,Fase_min,19236.99
PasodeIndios,2003,Fase_int,40440.29
PasodeIndios,2003,Fase_max,24713.11
PasodeIndios,2003,Fase_min,9865.6
PasodeIndios,2004,Fase_int,30632.19
PasodeIndios,2004,Fase_max,27826.84
PasodeIndios,2004,Fase_min,11481.1
PasodeIndios,2005,Fase_int,59491.75
PasodeIndios,2005,Fase_max,58064.97
PasodeIndios,2005,Fase_min,5946.22
PasodeIndios,2006,Fase_int,77528.88
PasodeIndios,2006,Fase_max,52107.47
PasodeIndios,2006,Fase_min,11876.43
PasodeIndios,2007,Fase_int,12955.91
PasodeIndios,2007,Fase_max,25676.36
PasodeIndios,2007,Fase_min,11047.630000000001
PasodeIndios,2008,Fase_int,41093.35
PasodeIndios,2008,Fase_max,33282.56
PasodeIndios,2008,Fase_min,6417.88
PasodeIndios,2009,Fase_int,33087.51
PasodeIndios,2009,Fase_max,39667.1
PasodeIndios,2009,Fase_min,5375.96
PasodeIndios,2010,Fase_int,13121.95
PasodeIndios,2010,Fase_max,24596.88
PasodeIndios,2010,Fase_min,5703.18
PasodeIndios,2011,Fase_int,18930.34
PasodeIndios,2011,Fase_max,34222.86
PasodeIndios,2011,Fase_min,6565.18
PasodeIndios,2012,Fase_int,22376.08
PasodeIndios,2012,Fase_max,14039.14
PasodeIndios,2012,Fase_min,6605.6
PasodeIndios,2013,Fase_int,20527.99
PasodeIndios,2013,Fase_max,27907.79
PasodeIndios,2013,Fase_min,6268.01
PasodeIndios,2014,Fase_int,25031.33
PasodeIndios,2014,Fase_max,29475.17
PasodeIndios,2014,Fase_min,7388.12
PasodeIndios,2015,Fase_int,28389.88
PasodeIndios,2015,Fase_max,33186.44
PasodeIndios,2015,Fase_min,6377.4800000000005
PasodeIndios,2016,Fase_int,13050.55
PasodeIndios,2016,Fase_max,13786.9
PasodeIndios,2016,Fase_min,5887.57
PasodeIndios,2017,Fase_int,16820.55
PasodeIndios,2017,Fase_max,35015.24
PasodeIndios,2017,Fase_min,3813.96
PasodeIndios,2018,Fase_int,17666.41
PasodeIndios,2018,Fase_max,29810.23
PasodeIndios,2018,Fase_min,5159.54
PasodeIndios,2019,Fase_int,16592.93
PasodeIndios,2019,Fase_max,21235.97
PasodeIndios,2019,Fase_min,4211.63
